ImageFile,InventoryNumber,ArtistName,Title,ObjectType,Medium,ObjectDate,Height,Width,About the Artist,About the Artwork,County Department,Supervisorial District,Location Name,AddressStreet,AddressCity,AddressState,AddressPostalCode,Latitude,Longitude,Count,Group,Show
,2019.4,"Mcfetridge, Geoff",The Organic Infrastructure of a Living Community,Fountain,Ceramic on concrete,2019,78,383,"Geoff McFetridge is a Canadian artist and designer whose work has been mounted at institutions and galleries in Europe, Tokyo, Los Angeles, and New York, and includes paintings, installations, furniture, film, fabrics, and wallpaper. He lives and works in Los Angeles. He has created graphics and logotypes for clients including Patagonia, Amazon, Google, Nike, and Apple, and served as art director for Grand Royal, the Beastie Boys’ magazine. His work in film includes title sequences for The Virgin Suicides and Adaptation, and the interface graphics for the feature film Her. He is the winner of the 2016 Cooper-Hewitt Smithsonian National Design Award. In 2019, he was awarded the AIGA Medal. To learn more : www.championdontstop.com","Through the County’s Civic Art policy, the Department of Arts and Culture was able to guide the creation of a new civic artwork created by the artist Geoff McFetridge specifically for the courtyard and community of the Department of Public Works. This fountain is an example of how community, service, and public works speak to the complex nature of our County and to the people who live in and imagine it. In this artwork, the Artist considered how the Department of Public Works exists in relation to earthworks, the work of nature, and what makes the broader ecology of Los Angeles so unique. His artwork shows physical connections as well as imagery that emphasizes how Public Works is an organization built upon service to the community. As water is a powerful element for all Angelenos, the artist wanted to use it to “draw” his vision. The three-dimensional custom tilework amplifies the water sounds and creates a “drawing with water,” like a sand painting that is in constant motion. The fountain’s spill-wall depicts an imaginative water machine built out of iconic structures and vessels that relate to aspects of the community that supports Public Works, and which in turn is served by Public Works. The water rises to the top of the fountain and fills vessels; shaped abstract taps funnel water to buildings and guide it over raised troughs and roads; hollow heads stream water to represent the County’s vibrant creativity. On the fountain’s back wall, a row of figures represents the community served by Public Works. These figures, each holding a pot in their hands, are supported by the mechanized design of the spill-wall. Within the landscape of the courtyard, the images and sculptural elements combine with the natural elements (water and plants) to create a living, moving mural.I am interested in how natural elements, water and plants, communicate in a way that I often do with images. In much of my work I strive to use the raw materials of our visual language to say something new, to help us to better connect to the world that we inhabit.” -Geoff McFetridge",Public Works,District 1 ,Public Works Headquarters,900 S Fremont Avenue,Alhambra,California,90712,34.08518267,-118.1499263,234,47,FALSE
,2020.10,"Smith, Amy",Unify,Print,Ink on paper,2020,18,18,"Amy Smith is a self-taught contemporary artist. Born in New Jersey, she moved to Los Angeles where she found inspiration, mentors, and support in the street art community. In her Collage Portrait Series, Amy Smith uses photography, layers of hand cut stencils, and torn recycled fashion magazine pieces to deconstruct self-identity from brand identity. Smith’s mixed media collages have been shown at Saatchi’s The Other Art Fair, Wallspace Gallery, The Whole 9 Gallery, and been part of auctions such as Julien’s Auctions with artists like Mr. Brainwash, Shepard Fairey, and Andy Warhol. Smith’s works can also be found on online galleries like SaatachiArt and Artsy.net. 

To learn more , visit: https://www.amysmith.art/","In 2019, the Board of Supervisors introduced a motion directing the Women and Girls Initiative to collaborate with the Department of Arts and Culture to commission artists to create commemorative artworks for the Centennial Celebration of the 19th Amendment, which granted women the right to vote. Six artists, including Andrea Monroe, Amy Smith, Clarence J. Williams III, Laura Vasquez Rodriguez, Moses X Ball, and Ragni Agarwal, were selected to design artwork for this project. The resulting artworks reflect a diversity of women and perspectives and highlight themes such as empowerment, civic engagement, resiliency, and the right to vote. Each artwork will be installed at various facilities throughout LA County for the public to enjoy and inspire residents to vote. The artworks were also reproduced as a limited run of posters available to the public and County departments and three designs were selected to be reproduced as limited-edition library cards and bookmarks.

In her collage portrait, artist Amy Smith combines her photography with layers of hand-cut stencils and pieces of protest signage to reflect on the suffrage movement and the modern woman. By juxtaposing historic suffragette signs with contemporary portraits of diverse women, she acknowledges our past and looks to the future to do better than we did before. We evolve together, and so we rise together.",Chief Executive Office - Real Estate,All County ,Topanga Library,122 Topanga Canyon Drive,Topanga,California,90012,34.08923058,-118.6040207,235,48,FALSE
,2020.11,"Agarwal, Ragni",Why We Vote,Print,Ink on paper,2020,17,17,"Ragni Agarwal is an art director, graphic designer, and illustrator living in Los Angeles. Mental health, body (dis)illusions, and self-destructive thoughts and behaviors are the focus of her work. She creates bold, beautiful images that are reflective of the dark and the light inside everyone. She does not believe in societal pressures or definitions of beauty, and addresses these issues head-on through her work, drawing women in all their beautiful forms, shapes, sizes, and colors. 

To learn more , visit: http://www.ragniagarwal.com/","In 2019, the Board of Supervisors introduced a motion directing the Women and Girls Initiative to collaborate with the Department of Arts and Culture to commission artists to create commemorative artworks for the Centennial Celebration of the 19th Amendment, which granted women the right to vote. Six artists, including Andrea Monroe, Amy Smith, Clarence J. Williams III, Laura Vasquez Rodriguez, Moses X Ball, and Ragni Agarwal, were selected to design artwork for this project. The resulting artworks reflect a diversity of women and perspectives and highlight themes such as empowerment, civic engagement, resiliency, and the right to vote. Each artwork will be installed at various facilities throughout LA County for the public to enjoy and inspire residents to vote. The artworks were also reproduced as a limited run of posters available to the public and County departments and three designs were selected to be reproduced as limited-edition library cards and bookmarks.

Driven by a pop-art aesthetic and bold colors, the underlying theme in Ragni Agarwal’s work is the beauty of diversity and inclusion. Her piece is derived from Martin Schoeller’s portrait for Vanity Fair of six freshman congresswomen from the class of 2018, the most diverse in history, showing how a woman’s right to vote directly impacts her life. Alexandria Ocasio-Cortez, Ayanna Pressley, Ilhan Omar, Deb Haaland, Veronica Escobar, and Sharice Davids are exercising their civic duty by serving in office, a direct outcome of the 19th Amendment. By doing so, they continue to raise the glass ceiling for all women.",Chief Executive Office - Real Estate,All County ,Norwalk Library,12350 Imperial Highway,Norwalk,California,90012,33.91646427,-118.0693584,236,48,FALSE
,2020.12,"Vazquez Rodriguez, Laura",Raise Your Voice,Painting,Acrylic paint on canvas,2020,18,18,"Laura Vazquez Rodriguez was born in Los Angeles, California and raised in the small community of Pico Rivera. Laura’s love for her culture and deep faith are reflected in each of her pieces. A skilled visual storyteller, her paintings are filled with symbolism. Each piece is a story that unfolds to illuminate a message: we are all connected. Laura has exhibited at Self Help Graphics, UCLA, Cal Poly Pomona, The University of Arizona, Whittier College, Santa Paula’s California Oil Museum, Gallery ChimMaya, Casa 0101, and Our Lady of the Angels Cathedral in Los Angeles. Her commercial art has appeared on book covers, on educational posters, in documentaries, and in several periodicals. 

To learn more , visit: https://lauravrodriguez.net/","In 2019, the Board of Supervisors introduced a motion directing the Women and Girls Initiative to collaborate with the Department of Arts and Culture to commission artists to create commemorative artworks for the Centennial Celebration of the 19th Amendment, which granted women the right to vote. Six artists, including Andrea Monroe, Amy Smith, Clarence J. Williams III, Laura Vasquez Rodriguez, Moses X Ball, and Ragni Agarwal, were selected to design artwork for this project. The resulting artworks reflect a diversity of women and perspectives and highlight themes such as empowerment, civic engagement, resiliency, and the right to vote. Each artwork will be installed at various facilities throughout LA County for the public to enjoy and inspire residents to vote. The artworks were also reproduced as a limited run of posters available to the public and County departments and three designs were selected to be reproduced as limited-edition library cards and bookmarks.

Los Angeles native Laura Vazquez Rodriguez celebrates the region’s rich cultural diversity with a focus on spirituality, love, and healing. In this piece, she honors the courageous women who fought diligently for the right to vote and celebrates those who continue to fight for equal rights today.",Chief Executive Office - Real Estate,All County ,Baldwin Park Library,4181 Baldwin Park Boulevard,Baldwin Park,California,90012,34.08806177,-117.9654236,237,48,FALSE
,2020.14,"Natrop, Chris",Reflecting Within Us,Sculpture,Stainless steel on steel,2020,84,396,"Chris Natrop is a Los Angeles-based visual artist known primarily for immersive art installations and 2D wall-works made of hand-cut paper. He has also been commissioned to produce permanent sculptures for private and public spaces including the U.S. Consulate in Dubai, Los Angeles International Airport, Harry Winston Jewellers, and Facebook, Inc. He was an affiliate artist at Headlands Center for the Arts, and a resident at Vermont Studio School, and received a BFA from the School of the Art Institute of Chicago in 1992 with an emphasis in painting.

To learn more visit: www.chrisnatrop.com","Chris Natrop’s artwork Reflecting Within Us is located in the east lobby of the Zev Yaroslavsky Family Support Center, which integrates services of seven County departments - Public Social Services, Children and Family Services, Child Support Services, Health Services, Mental Health, Public Health, and Probation - into a single campus. This engaging sculpture enlivens the lobby area through the use of more than one hundred intricate silhouettes suspended around a wooden ceiling structure. Cut from highly polished, lightweight stainless steel, the mirrored surfaces of birds in flight, plant life, gentle river-eddies, and cloud formations interact with ambient light from adjacent windows to create an interplay of delicate shadows. The highly reflective material also allows the sculpture to continuously change over time, giving visitors the opportunity to make new discoveries each time they visit. Over the children’s area, the sculpture becomes even more playful and magical. In the words of the Artist: ""My work is not complete until others become part of it.""",Public Works,District 3 ,Zev Yaroslavsky Family Support Center,7515 Van Nuys Boulevard,Van Nuys,California,90020,34.207273,-118.4489616,238,48,FALSE
,2020.4,"Morse, Aaron",Cloud World (Castaic),Painting,Acrylic paint on canvas,2020,66,161,"Aaron Morse was born in 1974 in Tucson, Arizona, and lives and works in Los Angeles. He received his BFA in 1996 from the University of Arizona, Tucson, and MFA in 1998 from the University of Cincinnati, OH. His work is included in the collections of the Los Angeles County Museum of Art; and the Museum of Modern Art, New York and the Whitney Museum of American Art, New York; among others. Solo exhibitions include those at ACME., Los Angeles (2003, 2005, 2007, 2009, 2011, 2014 and 2016); Guild and Greyshkul, New York (2006, 2008); and the Hammer Museum of Art, University of California, Los Angeles (2008). Morse’s work has also been included in group exhibitions at the Santa Barbara Museum of Art (2010 and 2016); the Contemporary Arts Museum, Houston (2008); the Berkeley Art Museum, Berkeley, California (2004); the Weatherspoon Art Museum, University of North Carolina, Greensboro (2004 and 2012); and the Hammer Museum of Art, University of California, Los Angeles (2003). Morse is as influenced by the geography, history, and mythology of the Southwest as he is by the language of advertising, collage, and comics. His compositions combine all these elements in colorful and complex layered artworks akin to epic illustrations and surreal, alternate worlds where time is often ambiguous.

To learn more , visit: https://www.aaronmorse.com/","Castaic Lake State Recreation Area is one of California’s largest state water reservoirs and is also a great local recreational escape for families. The commissioned artist Aaron Morse created a large painting for the main welcoming center. The artwork is installed on a preexisting screen is a painting titled Cloud World (Castaic), a canvas that depicts an expansive sky floating over Castaic Lake. Recreational boating and jet-skis share the landscape with birds and a rocky shoreline. Amid the rocks are remnants of the geological past. The vibrant blue colors of the sky and water reflect the artist's inspiration from the lake's natural beauty. With Cloud World (Castaic), Morse shows a glimpse of a larger world where many things happen simultaneously: human and animal life, environmental dynamics, and the passage of time.",Parks and Recreation,District 5 ,Castaic Lake State Recreation Area,32132 Castaic Lake Drive,Castaic,California,90022,34.50315524,-118.616028,239,48,FALSE
,2020.5,"Molnar, Cheryl",Birds in Flight,Mural,Glass on tile,2020,221,15,"Cheryl Molnar’s work has been exhibited nationally, with recent projects including a permanent ceramic tile instillation for PS19Q in Queens through the New York City Department of Cultural Affairs. Her work is featured in notable collections from Cantor Fitzgerald to Microsoft. She is currently a member artist at the Elizabeth Foundation for the Arts, and has been an artist in residence at the Winter Workspace program at Wave Hill, Smack Mellon, Weir Farm Art Center and Cooper Union. Molnar received a BFA from Rhode Island School of Design and an MFA from Pratt Institute.

To learn more : http://www.cherylmolnar.com/","The artist Cheryl Molnar created an artwork for the lobby of the High Desert Regional Health Center's Urgent Care that reflects and reimagines the beauty and complexity of its surrounding environment. Molnar depicts a rosy sunset over the High Desert’s famed California poppies, and the houses that are increasingly nestled in the foothills of the Antelope Valley. Inspired by the artist’s photographic research and collages, this two-story mural, Birds in Flight, visually draws viewers into a lush landscape that is both dreamlike and soothingly familiar. Like the symbolic birds, viewers can imagine themselves flying up into the gentle sky. In thinking about the needs of visitors in The High Desert Restorative Care Village Mental Health Urgent Care Center (MHUCC), Molnar says: “for moments in my own life when I need encouragement, I look towards nature and small details such as a beautiful sunset or watching birds in flight- I hope that this artwork allows viewers to feel a similar sense of calm amidst tumult.” The artwork is made of delicate, luminescent mosaic glass tile. The fine detail of the mural, crafted by the mosaic expert Stephen Miotto, contributes to its feeling of optimism, permanence, and timelessness.",Mental Health,District 5 ,High Desert Mental Health Urgent Care Center,415 East Avenue I,Lancaster,California,90003,34.70433936,-118.1222545,240,49,FALSE
,2020.6,"Jeyifous, Olalekan",New Directions,Mural,Vinyl wallpaper and aluminum,2020,,,"Olalekan Jeyifous received a BArch from Cornell University and is a Brooklyn-based artist whose work reimagines social spaces that examine the relationship between architecture, community, and the environment. He has exhibited at venues such as Studio Museum in Harlem, the MoMA, the Vitra Design Museum, and the Guggenheim in Bilbao, Spain. In addition to an extensive exhibition history, Jeyifous has spent over a decade creating large-scale installations for a variety of public spaces and was recently commissioned, along with fellow artist Amanda Williams, to create a monument dedicated to Congresswoman Shirley Chisholm as part of the City of New York's ""She Built NYC"" initiative.Olalekan has been a Wilder Green Fellow at the MacDowell Colony and has completed artist residencies with the Drawing Center's Open Sessions program and the Rockefeller Foundation's Bellagio Center. He has won numerous awards for his artistic practice and is the recipient of a 2021 Fellowship by the United States Artists.

To learn more visit: https://jeyifo.us/","Through the County’s Civic Art policy, the Los Angeles County Department of Arts and Culture was able to guide the creation of new civic artworks explicitly designed for the waiting rooms, SIT room and 3rd Floor Reentry Center of the new Probation field office. Brooklyn-based artist Olalekan created twenty-six murals and four dibond pieces throughout the building, using motifs with bold and vibrant designs. The murals illustrate a positive direction and future for clients and include references to education, literacy, employment and occupations, community, healthcare, and local architecture and vegetation. He incorporated references to music, art, and performance relating to the programmatic functions of the Reentry Center. These characters, text, and symbols speak to countless opportunities, resources, help, advocacy and support available to clients, visitors and the community at large.",Probation,District 2 ,Probation Office Headquarters,3965 S. Vermont Ave.,Los Angeles,California,90003,34.01266557,-118.2916943,241,49,FALSE
,2020.7,"Harris, Carla Jay",The Guardians,Mural,Ink on vinyl,2020,720,726,"Born in Indianapolis and raised traveling the globe as the child of a military officer, Carla Jay Harris's social and artistic development was impacted tremendously by the geopolitical and natural environments she encountered. She believes that space (physical and physiological) has a fundamental, lasting impact on personal identity. While the environment around us is constantly evolving, photography has the power to capture humanity in a place, in a moment--transforming a flicker in time into a lasting, appreciable statement. Carla's work has been exhibited nationally and internationally in New York, Los Angeles, DC, Paris, and Quebec. She completed undergraduate coursework at the School of Visual Arts in New York, received her bachelor's degree with distinction from the University of Virginia, and her MFA from UCLA in 2015. She currently lives/works in Los Angeles. Her works are included in the collections of USC Fisher Museum; California African American Museum; Museum of Art and History, Lancaster, CA; The Museum of Fine Arts, Sherbrooke, Quebec; the Los Angeles Metro, General Mills; and numerous private collections.","Artist Carla Jay Harris was selected to create a site-specific artwork for the Multipurpose Room at the park. Harris designed a digital mural translated into a laminated vinyl that spans three walls above the stage of this room. Titled The Guardians, this work honors the community center as a safe harbor to inspire its community and visitors. Community centers have always functioned as a sanctuary for Carla Jay Harris, providing a safe space to connect with family, friends, and neighbors. Harris designed this site-specific mural in response to the unprecedented events of 2020 -a global pandemic, a contentious US presidential election, and racial unrest. The Guardians expresses the need to safeguard community and demonstrates how creativity in public spaces promotes healing and fosters a sense of belonging. The mural's central theme is conveyed by a pair of female guardians who bookend the space acting as both the beginning and the end of a circle of protection for the Willowbrook community. They oversee a pastoral park scene that includes several elements of the local environment, including native birds and plants, interspersed with mythological imagery. By blending aspects of reality and fantasy, the artist intends to evoke a feeling of a surreal oasis. In wrapping the ceiling of the multipurpose room at Earvin Magic Johnson Park, The Guardians seek to celebrate the community-driven revitalization of the Willowbrook neighborhood. Carla Jay Harris is a multidisciplinary artist whose practice incorporates installation, collage, and drawing. Her creative process often involves documenting the space we live in through intellectual, emotional, and psychological lenses. Each of her projects begins as an exploration of one aspect of her personal experience and then evolves into a more significant statement about human nature.

To learn more ist, visit: https://www.carlajayharris.com/",Parks and Recreation,District 2 ,Magic Johnson Park,905 East El Segundo Boulevard,Los Angeles,California,90232,33.91690557,-118.2609042,242,49,FALSE
,2020.8,"Monroe, Andrea",Not Done Yet,Painting,Acrylic paint on canvas,2020,20,24,"Andrea Monroe was born in Chicago, Illinois to second generation Lithuanian parents. She was often found doodling patterns and animals to pass the time as a girl Primarily a self-taught artist, Andrea has worked as a fashion photographer’s studio manager, model, bookkeeper, retail fashion buyer, and has had a thirty-year career in the film industry as a costumer. After the birth of her son in 1998, Andrea began to paint. Nature, feminine energy, and emotion dictate the direction of her paintings, with bursts of color, a collage of shapes and lines, and a message bringing the viewer closer in to ponder, wonder, and enjoy. 

To learn more , visit: https://www.andreamonroe.com/","In 2019, the Board of Supervisors introduced a motion directing the Women and Girls Initiative to collaborate with the Department of Arts and Culture to commission artists to create commemorative artworks for the Centennial Celebration of the 19th Amendment, which granted women the right to vote. Six artists, including Andrea Monroe, Amy Smith, Clarence J. Williams III, Laura Vasquez Rodriguez, Moses X Ball, and Ragni Agarwal, were selected to design artwork for this project. The resulting artworks reflect a diversity of women and perspectives and highlight themes such as empowerment, civic engagement, resiliency, and the right to vote. Each artwork will be installed at various facilities throughout LA County for the public to enjoy and inspire residents to vote. The artworks were also reproduced as a limited run of posters available to the public and County departments and three designs were selected to be reproduced as limited-edition library cards and bookmarks.

In Andrea Monroe’s celebratory painting, a modern-day woman stands arm-in-arm with a Suffragist at a women’s rights march. Her painting conveys the joy of past achievements while acknowledging that the fight for equal rights, equal pay, and autonomy over their bodies has not been won for women. And so the march continues.",Chief Executive Office - Real Estate,All County ,Live Oak Library,22 West Live Oak Boulevard,Arcadia,California,90232,34.10668292,-118.0317506,243,49,FALSE
,2020.9,"Ball, Moses X",Resistance and Restitution,Painting,Acrylic paint on wood,2020,18,18,"Moses X Ball's work deals with important issues from history as well as the present day. He recently worked with Metro to create the Heart of Hyde Park mural on the US Bank at Crenshaw Blvd. and Slauson Ave. This mural is of particular importance to South LA as it depicts community activists and local business owners alongside neighborhood youth. He worked with Angelique Smith to include her son Ermias “Nipsey Hussle” Asghedom in the mural. Previous projects include Gateway to Greatness for the Expo Center at Exposition Park, featuring Olympians and Paralympians of Color. as well as Promise a collaboration with Blue Shield to create an art therapy/public art program, focused on helping South LA youth and youth in the foster system cope with obstacles and problems, using art to express and work through those issues. Throughout his career, Moses has sought to work with community groups and residents on the murals he creates, reflecting and inspiring the people who live in the areas he seeks to beautify.","In 2019, the Board of Supervisors introduced a motion directing the Women and Girls Initiative to collaborate with the Department of Arts and Culture to commission artists to create commemorative artworks for the Centennial Celebration of the 19th Amendment, which granted women the right to vote. Six artists, including Andrea Monroe, Amy Smith, Clarence J. Williams III, Laura Vasquez Rodriguez, Moses X Ball, and Ragni Agarwal, were selected to design artwork for this project. The resulting artworks reflect a diversity of women and perspectives and highlight themes such as empowerment, civic engagement, resiliency, and the right to vote. Each artwork will be installed at various facilities throughout LA County for the public to enjoy and inspire residents to vote. The artworks were also reproduced as a limited run of posters available to the public and County departments and three designs were selected to be reproduced as limited-edition library cards and bookmarks.

Moses X Ball depicts five important Black women suffragists who fought for an intersectional vision linking race, class, and gender. Moses’ work declares that Ida B. Wells, Mary Church Terrell, Nannie H. Burroughs, Mary B. Talbert, and Frances E.W. Harper deserve proper recognition for their accomplishments with improving the lives of all women.",Chief Executive Office - Real Estate,All County ,District 2 Community Office - Vermont,510 S. Vermont Avenue,Los Angeles,California,90020,34.063978,-118.291376,244,49,FALSE
,2021.10,"Huynh, Phung",Sobrevivir,Sculpture,Cor-Ten steel on steel,2021,0.5,266,"Phung Huynh is a Los Angeles-based artist and educator whose practice is primarily in drawing, painting, and public art. Her work explores cultural perception and representation. Huynh challenges beauty standards by reconstructing images of the Asian female body vis-à-vis plastic surgery to unpack how contemporary cosmetic surgery can create obscurity in cultural and racial identity. Her most current work of drawings on pink donut boxes and cross-stitched, personalized California license plates explores the complexities of the refugee experience in Southeast Asian communities. Phung Huynh has exhibited nationally and internationally. She has also completed public art commissions for the Los Angeles County Metropolitan Transportation Authority (Metro Orange Line, Metro Silver Line, and Metro Neighborhood Poster Series) and the Los Angeles Zoo and Botanical Gardens. Phung Huynh is currently Professor of Art at Los Angeles Valley College.

To learn more visit: http://www.phunghuynh.com/","Over 200 women who delivered babies at the Los Angeles County and USC Medical Center (now known as the Los Angeles General Medical Center) between 1968 and 1974 underwent sterilization procedures. The majority of these women were low income, born in Mexico, and were possibly coerced into receiving postpartum tubal ligations. These surgeries rendered them unable to become pregnant. Coerced sterilization is a shameful part of America’s, and Los Angeles County’s, history. It is necessary to acknowledge the irreparable harm inflicted on the women who were subjected to these coercions, as well as on their families. On August 7, 2018, the Los Angeles County Board of Supervisors formally apologized to the women and families who were harmed by these practices. The Board instructed the Department of Health Services and the Department of Arts and Culture to design and install a civic artwork on the campus of LAC+USC Medical Center. The Department of Arts and Culture commissioned Los Angeles-based artist Phung Huynh to create the artwork, which was developed through a community engagement process. The artwork recognizes the women and their families, expresses the Board’s sincere apology for the County’s coerced sterilization practice, and reminds current and future generations that this tragedy must never occur again. The name of the artwork, Sobrevivir, is Spanish for to keep alive or survive. The 2015 documentary, No Mas Bebes, co-produced by scholar and UCLA lecturer Virginia Espino and directed by co-producer and filmmaker Renee Tajima-Pena, was pivotal in the artist’s research for this project and gave her access to listen and learn from the mothers themselves. Huynh was moved by both the courage and vulnerability of the mothers, and there were many points of inspiration for the artwork. One of the most important inspirations is the words of the survivors, which are featured on the wall surrounding the artwork; 

“If you speak English, they treat you one way. If you don’t speak English, they treat you another way.” 

“Yo, por dentro, siento mucha tristeza.” 

“Se me acabó la canción.” 

During the development of the final design, Huynh led an engagement process to inform the artwork concept and inspire a sense of community ownership. She worked with community members to create four quilts. Survivor’s family members and people with whom this experience resonated made each quilt square. This quilt represents a collective approach to healing through art and acknowledges and pays tribute to the survivors. Huynh was inspired by women’s craftwork such as weaving, sewing, and brocading, and she looked at the huipil, its strong, stoic form complimented by colorful patterns and flowers. She views flowers as important representations of fertility, as well as offerings, are included in the work. Many of the mothers relied on devotion and prayer to cope and heal. Central to the artwork is the hands of the Guadalupe, who in many ways is a powerful representation of Los Angeles. She also wanted the artwork to echo the cultural and artistic practices and traditions of Mexico where many of the mothers are from. In Mexico, leather tooling is a beautiful and highly skilled craft and the elegant markings on leather, which is ultimately skin, is symbolic of the mothers’ sobrevivir, their resilience, and how they transformed their suffering. The site for the artwork is a circular space that invites contemplation. Huynh created a powerful piece that invites viewers to learn about the mothers and connect with their experiences. The artwork is made of 32 panels of Corten steel that will rust and change over time. It is a living piece of art and of history that will grow and evolve with the community. On the surrounding wall are the words of the mothers. The choice of metal is deliberate to convey the strength, resilience, and sobrevivir of the survivors. The austere physicality of the metal is complemented by the effects of light. The artwork will illuminate at night to enhance the feeling of a contemplative, yet powerful space.",Health Services,District 1 ,Los Angeles General Medical Center Campus,2051 Marengo St.,Los Angeles,California,90033,34.058264,-118.207494,245,50,FALSE
,2021.11,"Martinez, Patrick",Feliz Cumpleanos Boyle Heights,Tile,Porcelain on grout,2021,240,504,"Patrick Martinez maintains a diverse practice that includes mixed-media landscape paintings, neon sign pieces, cake paintings, and his Pee Chee series of appropriative works. The landscape paintings are abstractions composed of Los Angeles surface content; e.g. distressed stucco, spray paint, window security bars, vinyl signage, ceramic tile, neon sign elements, and other recognizable materials. These works serve to evoke place and socioeconomic position, and further unearth sites of personal, civic, and cultural loss. His work has been exhibited domestically and internationally. Martinez works and lives in Los Angeles.","Los Angeles General Medical Center is home to one of the country’s first four Restorative Care Villages (RCVs), which will provide a new model of holistic care for people experiencing homelessness. These LA County Restorative Care Villages will provide a new kind of environment for this vulnerable population, one with a comprehensive, holistic approach to the interrelated and complex needs of homelessness, substance abuse, mental illness, job training/housing, and medical co-morbidity. Accompanying the completion of the Los Angeles General Medical Center's RCV, The Civic Art team is pleased to present four new ceramic tiled murals on the facades of the new facilities by local artists, Lorenzo Hurtado Segovia, Jaime Scholnick, Patrick Martinez, and Star Montana. 

Artist Patrick Martinez was commissioned to create a ceramic tile mural for the Residential Treatment Program C. His artwork, Feliz Cumpleanos Boyle Heights is a visual celebration of the Boyle Heights community, honoring the tradition and the everyday beauty that fills the neighborhood. On the left side of the artwork, the artist's representation of a young women’s quinceañera dress is intended as an embodiment of hope and the transition to adulthood. On the right is a bouquet containing flowers commonly found throughout Boyle Heights. Stemming from the artist’s ongoing cake painting series – his three-dimensional sculptural paintings which memorialize and celebrate civic leaders, activists, and thinkers – the inspiration for this artwork comes from the birthday celebrations of his youth growing up in San Gabriel Valley, the source of great happiness and delight. Martinez began his mural design by making a cake painting created with heavy body acrylic and airbrush paint, and ceramic cake roses on panel, which was later translated and fabricated into flat ceramic tile by Tile Artisans. The artwork was installed in the Fall of 2021, by Premier Tile and Marble.",Mental Health,District 1 ,Los Angeles General Medical Center Campus,1200 North State Street,Los Angeles,California,91352,34.06039885,-118.2088071,246,50,FALSE
,2021.12,"Scholnick, Jaime","Layered Histories, Boyle Heights",Tile,Porcelain on grout,2021,240,504,"Jaime Scholnick is a visual artist who lives and maintains a studio in Los Angeles. She received her MFA from Claremont Graduate University and studied papermaking in Japan. Scholnick's work has been exhibited in galleries and museums nationally and internationally; at PS1 Long Island City, PØST, Angles Gallery, CB1 Gallery, UCLA Hammer, the Torrance Museum of Art, Barnsdall Municipal Art Gallery, and in LAX Terminal One. She was a recipient of the California Community Foundation Visual Arts Fellowship and Imadate Art Field Artist in Residence in Imadate, Japan. 

For more information visit: https://jaimescholnick.com/","The Los Angeles General Medical Center is home to one of the country’s first four Restorative Care Villages (RCVs), which will provide a new model of holistic care for people experiencing homelessness. These LA County Restorative Care Villages will provide a new kind of environment for this vulnerable population, one with a comprehensive, holistic approach to the interrelated and complex needs of homelessness, substance abuse, mental illness, job training/housing, and medical co-morbidity. Accompanying the completion of the Los Angeles General Medical Center RCV, The Civic Art team is pleased to present four new ceramic tiled murals on the facades of the new facilities by local artists, Lorenzo Hurtado Segovia, Jaime Scholnick, Patrick Martinez, and Star Montana. 

Artist Jaime Scholnick was commissioned to create a ceramic tile mural for the Residential Treatment Program B. Her artwork, Layered Histories, Boyle Heights celebrates the rich and diverse history and culture of the surrounding community. After working closely with local culture bearers to identify notable landmarks that represent the neighborhood's complex history, Scholnick initially created her artwork on large plywood panels with select, collaged photographs. She then enhanced the form, line, and color of these images with a special painting technique, carefully applying meticulous line work over the pictures to unify them into a large neighborhood quilt. The completed design was translated into ceramic tiles and fabricated by Tile Artesans. The artwork was installed in August 2021, by Premier Tile and Marble.",Mental Health,District 1 ,Los Angeles General Medical Center Campus,1200 North State Street,Los Angeles,California,91405,34.06039885,-118.2088071,247,50,FALSE
